Nombre inmueble,Latitud,Longitud
Centro Comunitario,32.4843,-116.251375
Club de la Alegria,32.488228,-117.040803
Desayunador Comunitario,32.536759,-117.032128
TK ROCA,32.539892,-116.627241
CECUTEC,32.570607,-116.620005
Salon Social Burocratas,32.572097,-116.643639
Club de la Alegria,32.570258,-116.642513
Gimnacio Municipal,32.568593,-116.642221
"Unidad Tijuana
",32.513691,-116.972303
Albergue para Deportistas,32.655087,-115.447139
Auditorio del Estado,32.653556,-115.444576
Centro Recreativo Municipal,32.6410558,-115.49829
CDC Melchor Ocampo,32.621067,-115.423308
Gimnasio CETYS,32.653861,-115.413037
Salon Social Estrella del Mar,31.901628,-116.694598
CDC Santorales,32.633797,-115.585712
CAR ENSENADA,31.827204,-116.593982
Ricardo Giron Gonzalez,32.538038,-115.582481
Gimnasio de usos Multiples Maneadero,31.727018,-116.572955
Manuel Quiroz Martinez,32.511466,-114.923548
Casino Hidalgo,32.572198,-114.992676
CDHI Benito Juarez,32.5972,-115.361521
Salon Ejidal Piedras Negras,32.587306,-115.370878
Salon Ejidal Campeche,32.565176,-114.994284
COBACH Cd. Morelos,32.615053,-115.382394
Auditorio Ciudad Morelos,32.632542,-114.86401
Secundaria Tecnica No. 22,32.604262,-115.388392
Salon Ejidal Ciudad Morelos,32.631821,-114.851628
Secundaria Tecnica Agropecuaria No. 9,32.628132,-115.554094
Teatro y Biblioteca,32.338216,-117.056171
Primaria Poeta Sanson Flores,32.442285,-115.373217
Primaria Rural Maria de Jesus Gil Morales,32.62283,-115.47612
Salon Ejidal Alberto Oviedo Mota,32.227506,-115.167345
Primaria Asalto a las Tierras,32.43044,-115.372063
COBACH Nuevo Leon,32.406797,-115.195573
CDHI Delta Oaxaca,32.354891,-115.188622
Secundaria No. 13 Emiliano Zapata,32.654128,-115.519017
Campo Deportivo Plan de Ayala,32.220179,-115.031211
Secundaria Profr. Otilio Monta¡±o No. 83,32.223977,-115.035423
Primaria Profr. Otilio Monta¡±o,32.220205,-115.03125
